2025-12-18,McDonalds 2635    _V,25.46,,988.1
2025-12-18,UBER CANADA/UBE   _V,46.52,,941.58
2025-12-18,UBER CANADA/UBE   _V,,46.47,988.05
2025-12-18,AMEX BILL PYMT   MSP,100,,888.05
2025-12-18,NSLSC            MSP,127.94,,760.11
2025-12-19,E-TFR ***jEm EPAY,,500,1260.11
2025-12-19,TD ATM W/D    005214,1000,,260.11
2025-12-19,TIM HORTONS #24   _F,2.61,,257.5
2025-12-19,WING STOP BROOK   _F,23.15,,234.35
2025-12-19,UBER * PENDING    _V,8.34,,226.01
2025-12-22,Spotify P3   14.34_V,14.34,,211.67
2025-12-22,FRESHCO #3861     _F,57.41,,154.26
2025-12-22,PIZZA NOVA 324    _F,13.55,,140.71
2025-12-22,LCBO/RAO #0237    _F,17.05,,123.66
2025-12-22,PAYPAL *UBER      _V,11.29,,112.37
2025-12-22,E-TRANSFER ***GbK,,40,152.37
2025-12-22,LW270 TFR-FR C/C,,30,182.37
2025-12-22,E-TRANSFER ***HEM,,140,322.37
2025-12-22,E-TRANSFER ***Wg3,,10,332.37
2025-12-22,E-TRANSFER ***mWh,,10,342.37
2025-12-22,AMZN Mktp CA      _V,201.54,,140.83
2025-12-22,UBER CANADA/UBE   _V,32.21,,108.62
2025-12-22,UBER CANADA/UBE   _V,26.65,,81.97
2025-12-22,AMZN Mktp CA      _V,11.04,,70.93
2025-12-22,UBER CANADA/UBE   _V,35.15,,35.78
2025-12-22,UBER CANADA/UBE   _V,30.8,,4.98
2025-12-22,UBER *TRIP HELP   _V,0.64,,4.34
2025-12-29,VESTA  * REV 12/15_V,,45.2,49.54
2025-12-29,Steam Purc    4.40_V,4.4,,45.14
2025-12-29,E-TRANSFER ***326,,40,85.14
2025-12-29,ENDZIN 2022 LIM   _V,25,,60.14
2025-12-29,ENDZIN 2022 LIM   _V,10,,50.14
2025-12-29,UBER CANADA/UBE   _V,32.58,,17.56
2025-12-29,E-TRANSFER ***4TP,,36.94,54.5
2025-12-29,ESSO CIRCLE K     _F,6.2,,48.3
2025-12-29,E-TRANSFER ***qpr,,200,248.3
2025-12-29,Uber Holdings C   _V,54.41,,193.89
2025-12-29,SEND E-TFR ***vX6,15,,178.89
2025-12-29,UBER CANADA/UBE   _V,54.58,,124.31
2025-12-29,Uber Holdings C   _V,33.98,,90.33
2025-12-29,Uber Holdings C   _V,,54.41,144.74
2025-12-29,UBER CANADA/UBE   _V,80.02,,64.72
2025-12-29,ENDZIN 2022 LIM   _V,15,,49.72
2025-12-29,ENDZIN 2022 LIM   _V,10,,39.72
2025-12-29,E-TRANSFER ***UMw,,363.7,403.42
2025-12-30,EMPL INS         EI,,844,1247.42
2025-12-30,WJ224 TFR-TO C/C,484.88,,762.54
2025-12-30,SEND E-TFR ***ky5,120,,642.54
2025-12-30,Uber Holdings C   _V,43.22,,599.32
2025-12-30,ENDZIN 2022 LIM   _V,50,,549.32
2025-12-30,ESSO CIRCLE K     _F,15.85,,533.47
2025-12-30,DISCORD* N   11.29_V,16.02,,517.45
2025-12-31,ENDZIN 2022 LIM   _V,,80,597.45
2025-12-31,UBER CANADA/UBE   _V,8.79,,588.66
2025-12-31,E-TRANSFER ***3dW,,31.15,619.81
2025-12-31,ENDZIN 2022 LIM   _V,50,,569.81
2025-12-31,UBER CANADA/UBE   _V,7.44,,562.37
2025-12-31,SPORT CLIPS-BRO   _F,46.55,,515.82
2025-12-31,ENDZIN 2022 LIM   _V,,70,585.82
2025-12-31,BAXTER'S LANDIN   _F,55.93,,529.89
2025-12-31,BAXTER'S LANDIN   _F,35.09,,494.8
2025-12-31,UBER CANADA/UBE   _V,13.51,,481.29
2025-12-31,E-TRANSFER ***s7D,,20,501.29
2025-12-31,8-BIT BEANS       _F,8.64,,492.65
2025-12-31,8-BIT BEANS       _F,56.08,,436.57
2025-12-31,NSLSC            MSP,127.94,,308.63
2025-12-31,OVERDRAFT INTEREST,0.08,,308.55
2025-12-31,MONTHLY ACCOUNT FEE,17.95,,290.6
2025-12-31,CHQ RETURN FEE,2,,288.6
2026-01-02,8-BIT BEANS       _F,3.97,,284.63
2026-01-02,8-BIT BEANS       _F,3.39,,281.24
2026-01-02,8-BIT BEANS       _F,21.76,,259.48
2026-01-02,UBER * PENDING    _V,18.29,,241.19
2026-01-02,SHELL C45075      _F,3.94,,237.25
2026-01-02,ENDZIN 2022 LIM   _V,50,,187.25
2026-01-02,ENDZIN 2022 LIM   _V,,70,257.25
2026-01-02,ENDZIN 2022 LIM   _V,,15,272.25
2026-01-02,ENDZIN 2022 LIM   _V,20,,252.25
2026-01-02,MICROSOFT*STORE   _V,33.89,,218.36
2026-01-02,ENDZIN 2022 LIM   _V,,25,243.36
2026-01-02,SEND E-TFR ***MRH,20,,223.36
2026-01-02,UBER CANADA/UBE   _V,47.49,,175.87
2026-01-02,UBER CANADA/UBE   _V,47.56,,128.31
2026-01-02,ENDZIN 2022 LIM   _V,,120,248.31
2026-01-02,ENDZIN 2022 LIM   _V,25,,223.31
2026-01-02,ENDZIN 2022 LIM   _V,50,,173.31
2026-01-02,UBER CANADA/UBE   _V,,47.49,220.8
2026-01-02,ENDZIN 2022 LIM   _V,20,,200.8
2026-01-02,UBER CANADA/UBE   _V,13.03,,187.77
2026-01-02,ENDZIN 2022 LIM   _V,,120,307.77
2026-01-02,WALMART STORE #   _F,106.71,,201.06
2026-01-02,WALMART STORE #,44.94,,156.12
2026-01-02,UBER * PENDING    _V,12.28,,143.84
